run_name,t_wall,t_get_total_energy,t_update_plane,t_inject_energy,glups
strong_close_t001_rep01,152.144386,0.803326,151.340963,0.000084,0.825950
strong_close_t002_rep01,84.466271,0.398995,84.067182,0.000080,1.486906
strong_close_t004_rep01,54.170857,0.204261,53.966496,0.000088,2.316252
strong_close_t008_rep01,40.067598,0.105907,39.961604,0.000075,3.128003
strong_close_t016_rep01,32.881829,0.065075,32.816661,0.000081,3.809041
strong_close_t024_rep01,21.596608,0.043587,21.552908,0.000089,5.799681
strong_close_t032_rep01,16.067276,0.033366,16.033788,0.000096,7.796037
strong_spread_t001_rep01,152.164005,0.803773,151.360094,0.000115,0.825845
strong_spread_t002_rep01,77.633964,0.405078,77.228789,0.000073,1.618567
strong_spread_t004_rep01,43.310356,0.201916,43.108331,0.000093,2.899672
strong_spread_t008_rep01,27.056757,0.103243,26.953411,0.000084,4.637632
strong_spread_t016_rep01,19.197916,0.054877,19.142944,0.000079,6.529821
strong_spread_t024_rep01,21.786853,0.044022,21.742737,0.000076,5.749046
strong_spread_t032_rep01,16.095070,0.033010,16.061949,0.000084,7.782368
weak_spread_t001_x5000_y5000_rep01,5.753120,0.032197,5.720854,0.000059,0.873995
weak_spread_t002_x10000_y5000_rep01,5.719236,0.032314,5.686836,0.000066,1.758447
weak_spread_t004_x10000_y10000_rep01,6.720877,0.032253,6.688504,0.000092,2.990205
weak_spread_t008_x20000_y10000_rep01,8.495158,0.033218,8.461825,0.000099,4.727113
weak_spread_t016_x20000_y20000_rep01,12.063530,0.035180,12.028258,0.000074,6.651005
weak_spread_t032_x40000_y20000_rep01,20.907610,0.042154,20.865330,0.000100,7.668223
