run_name,nodes,ranks,threads_per_rank,total_cores,process_grid_x,process_grid_y,t_wall,t_get_total_energy,t_update_plane,t_inject_energy,t_exchange_halos,glups,injected_energy,system_energy
hybrid_n01_r001_t032_rep01,1,1,32,32,1,1,15.956574,0.033100,15.923288,0.000072,0.000028,7.850137,200,200
hybrid_n01_r002_t016_rep01,1,2,16,32,1,2,15.965129,0.034093,15.915513,0.000101,0.059765,7.853972,200,200
hybrid_n01_r004_t008_rep01,1,4,8,32,2,2,15.900864,0.033424,15.833911,0.000119,0.145309,7.894449,200,200
hybrid_n01_r008_t004_rep01,1,8,4,32,2,4,15.891434,0.034990,15.791546,0.000184,0.286108,7.915628,200,200
hybrid_n01_r016_t002_rep01,1,16,2,32,4,4,15.898445,0.035228,15.781057,0.000310,0.330220,7.920889,200,200
hybrid_n01_r032_t001_rep01,1,32,1,32,4,8,15.920991,0.042448,15.750877,0.000327,0.729700,7.936066,200,200
hybrid_n02_r002_t032_rep01,2,2,32,64,1,2,8.035077,0.016916,7.978014,0.000086,0.048273,15.668059,200,200
hybrid_n02_r004_t016_rep01,2,4,16,64,2,2,8.006109,0.017160,7.927502,0.000128,0.088045,15.767892,200,200
hybrid_n02_r008_t008_rep01,2,8,8,64,2,4,8.009541,0.017280,7.878041,0.000106,0.147567,15.866889,200,200
hybrid_n02_r016_t004_rep01,2,16,4,64,4,4,8.019421,0.017727,7.862528,0.000153,0.243040,15.898195,200,200
hybrid_n02_r032_t002_rep01,2,32,2,64,4,8,7.968743,0.018405,7.861534,0.000268,0.260272,15.900205,200,200
hybrid_n02_r064_t001_rep01,2,64,1,64,8,8,7.962606,0.024489,7.832924,0.000273,0.317763,15.958280,200,200
