run_name,layout,nodes,ranks,ranks_per_node,threads_per_rank,total_cores,grid_x,grid_y,total_cells,cells_per_core,process_grid_x,process_grid_y,t_wall,t_get_total_energy,t_update_plane,t_inject_energy,t_exchange_halos,glups,injected_energy,system_energy
weak_rpn01_t032_n01_r001_rep01,rpn01_t032,1,1,1,32,32,25000,25000,625000000,19531250,1,1,15.913378,0.033024,15.880151,0.000094,0.000020,7.871462,200,200
weak_rpn01_t032_n02_r002_rep01,rpn01_t032,2,2,1,32,64,50000,25000,1250000000,19531250,2,1,15.973744,0.034068,15.898411,0.000116,0.068047,15.724842,200,200
weak_rpn02_t016_n01_r002_rep01,rpn02_t016,1,2,2,16,32,25000,25000,625000000,19531250,1,2,15.924415,0.033108,15.872142,0.000078,0.047491,7.875434,200,200
weak_rpn02_t016_n02_r004_rep01,rpn02_t016,2,4,2,16,64,50000,25000,1250000000,19531250,2,2,15.979881,0.033105,15.881974,0.000098,0.094675,15.741116,200,200
weak_rpn04_t008_n01_r004_rep01,rpn04_t008,1,4,4,8,32,25000,25000,625000000,19531250,2,2,15.853429,0.033379,15.779943,0.000079,0.125922,7.921448,200,200
weak_rpn04_t008_n02_r008_rep01,rpn04_t008,2,8,4,8,64,50000,25000,1250000000,19531250,4,2,15.871865,0.035260,15.740960,0.000121,0.173259,15.882132,200,200
weak_rpn08_t004_n01_r008_rep01,rpn08_t004,1,8,8,4,32,25000,25000,625000000,19531250,2,4,15.833179,0.033803,15.739291,0.000121,0.156226,7.941908,200,200
weak_rpn08_t004_n02_r016_rep01,rpn08_t004,2,16,8,4,64,50000,25000,1250000000,19531250,4,4,15.928377,0.033714,15.700885,0.000178,0.297141,15.922670,200,200
weak_rpn16_t002_n01_r016_rep01,rpn16_t002,1,16,16,2,32,25000,25000,625000000,19531250,4,4,15.856332,0.033762,15.727940,0.000250,0.268732,7.947640,200,200
weak_rpn16_t002_n02_r032_rep01,rpn16_t002,2,32,16,2,64,50000,25000,1250000000,19531250,8,4,15.893060,0.037809,15.665713,0.000259,0.399363,15.958418,200,200
weak_rpn32_t001_n01_r032_rep01,rpn32_t001,1,32,32,1,32,25000,25000,625000000,19531250,4,8,15.864211,0.041117,15.695971,0.000393,0.512605,7.963827,200,200
weak_rpn32_t001_n02_r064_rep01,rpn32_t001,2,64,32,1,64,50000,25000,1250000000,19531250,8,8,15.915178,0.042004,15.729802,0.000426,0.573291,15.893398,200,200
