run_name,variant,optimization,threads,grid_x,grid_y,iterations,t_wall,t_get_total_energy,t_update_plane,t_inject_energy,glups
cache_template_O1_rep01,template,O1,1,1000,1000,10000,30.301385,0.001184,30.298315,0.001138,0.330051
cache_template_O3_rep01,template,O3,1,1000,1000,10000,11.106379,0.001210,11.102931,0.001590,0.900663
cache_final_O1_rep01,final,O1,1,1000,1000,10000,15.698045,0.001189,15.694426,0.001730,0.637169
cache_final_O3_rep01,final,O3,1,1000,1000,10000,6.849933,0.001215,6.846423,0.001619,1.460617
cache_openmp_O3_t001_rep01,openmp,O3,1,1000,1000,10000,7.180668,0.001206,7.177719,0.001222,1.393200
cache_template_O1_rep02,template,O1,1,1000,1000,10000,30.307704,0.001185,30.304515,0.001286,0.329984
cache_template_O3_rep02,template,O3,1,1000,1000,10000,11.112247,0.001193,11.109201,0.001381,0.900155
cache_final_O1_rep02,final,O1,1,1000,1000,10000,15.567397,0.001190,15.563979,0.001534,0.642509
cache_final_O3_rep02,final,O3,1,1000,1000,10000,6.895710,0.001215,6.892486,0.001263,1.450855
cache_openmp_O3_t001_rep02,openmp,O3,1,1000,1000,10000,7.200110,0.001213,7.196956,0.001293,1.389476
cache_template_O1_rep03,template,O1,1,1000,1000,10000,30.333769,0.001186,30.330019,0.001576,0.329706
cache_template_O3_rep03,template,O3,1,1000,1000,10000,11.170169,0.001210,11.166477,0.002010,0.895538
cache_final_O1_rep03,final,O1,1,1000,1000,10000,15.581750,0.001182,15.578298,0.001521,0.641919
cache_final_O3_rep03,final,O3,1,1000,1000,10000,6.581528,0.001209,6.578029,0.001630,1.520212
cache_openmp_O3_t001_rep03,openmp,O3,1,1000,1000,10000,7.125496,0.001213,7.122550,0.001116,1.403992
