run_name,scaling,nodes,ranks,ranks_per_node,threads_per_rank,total_cores,grid_x,grid_y,iterations,total_cells,cells_per_node,process_grid_x,process_grid_y,t_wall,t_get_total_energy,t_update_plane,t_inject_energy,t_exchange_halos,glups,injected_energy,system_energy
node_strong_n01_r004_t008_rep01,strong,1,4,4,8,32,25000,25000,100,625000000,625000000,2,2,7.958931,0.033665,7.881619,0.000061,0.060816,7.929843,100,100
node_strong_n02_r008_t008_rep01,strong,2,8,4,8,64,25000,25000,100,625000000,312500000,2,4,4.008734,0.018043,3.924315,0.000058,0.081975,15.926346,100,100
node_strong_n04_r016_t008_rep01,strong,4,16,4,8,128,25000,25000,100,625000000,156250000,4,4,2.034959,0.009405,1.972674,0.000083,0.111274,31.682884,100,100
node_strong_n08_r032_t008_rep01,strong,8,32,4,8,256,25000,25000,100,625000000,78125000,4,8,1.108261,0.006732,0.985189,0.000059,0.162649,63.439604,100,100
node_strong_n16_r064_t008_rep01,strong,16,64,4,8,512,25000,25000,100,625000000,39062500,8,8,0.518496,0.015192,0.480037,0.000080,0.054687,130.198339,100,100
node_weak_n01_r004_t008_x6250_y6250_rep01,weak,1,4,4,8,32,6250,6250,100,39062500,39062500,2,2,0.489393,0.002374,0.480020,0.000038,0.009233,8.137674,100,100
node_weak_n02_r008_t008_x8839_y8839_rep01,weak,2,8,4,8,64,8839,8839,100,78127921,39063960,2,4,0.516278,0.002467,0.480532,0.000066,0.041742,16.258634,100,100
node_weak_n04_r016_t008_x12500_y12500_rep01,weak,4,16,4,8,128,12500,12500,100,156250000,39062500,4,4,0.512326,0.002492,0.479794,0.000046,0.034787,32.566072,100,100
node_weak_n08_r032_t008_x17678_y17678_rep01,weak,8,32,4,8,256,17678,17678,100,312511684,39063960,4,8,0.561033,0.002548,0.470702,0.000078,0.092917,66.392692,100,100
node_weak_n16_r064_t008_x25000_y25000_rep01,weak,16,64,4,8,512,25000,25000,100,625000000,39062500,8,8,0.526668,0.018199,0.488131,0.000061,0.064653,128.039365,100,100
